objectid,title,date,category,file_types,newssource,link,filename,youtubeid,slides,trans,email,source,type,format
2023-04-14,"Friday Letter April 14, 2023",2023-04-14,Friday Letter,report,,,letter_2023-04-14.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-04-21,"Friday Letter April 21, 2023",2023-04-21,Friday Letter,report,,,letter_2023-04-21.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-04-28,"Friday Letter April 28, 2023",2023-04-28,Friday Letter,report,,,letter_2023-04-28.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-04-07,"Friday Letter April 7, 2023",2023-04-07,Friday Letter,report,,,letter_2023-04-07.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-02-10,"Friday Letter Feb 10, 2023",2023-02-10,Friday Letter,report,,,letter_2023-02-10.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-02-17,"Friday Letter Feb 17, 2023",2023-02-17,Friday Letter,report,,,letter_2023-02-17.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-02-24,"Friday Letter Feb 24, 2023",2023-02-24,Friday Letter,report,,,letter_2023-02-24.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-02-03,"Friday Letter Feb 3, 2023",2023-02-03,Friday Letter,report,,,letter_2023-02-03.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-01-13,"Friday Letter Jan 13, 2023",2023-01-13,Friday Letter,report,,,letter_2023-01-13.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-01-20,"Friday Letter Jan 20, 2023",2023-01-20,Friday Letter,report,,,letter_2023-01-20.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-01-27,"Friday Letter Jan 27, 2023",2023-01-27,Friday Letter,report,,,letter_2023-01-27.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-01-06,"Friday Letter Jan. 6, 2023",2023-01-06,Friday Letter,report,,,letter_2023-01-06.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-07-21,"Friday Letter July 21, 2023",2023-07-21,Friday Letter,report,,,letter_2023-07-21.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-06-23,"Friday Letter June 23, 2023",2023-06-23,Friday Letter,report,,,letter_2023-06-23.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-03-10,"Friday Letter March 10, 2023",2023-03-10,Friday Letter,report,,,letter_2023-03-10.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-03-17,"Friday Letter March 17, 2023",2023-03-17,Friday Letter,report,,,letter_2023-03-17.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-03-24,"Friday Letter March 24, 2023",2023-03-24,Friday Letter,report,,,letter_2023-03-24.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-03-31,"Friday Letter March 31, 2023",2023-03-31,Friday Letter,report,,,letter_2023-03-31.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-03-03,"Friday Letter March 3, 2023",2023-03-03,Friday Letter,report,,,letter_2023-03-03.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-05-12,"Friday Letter May 12, 2023",2023-05-12,Friday Letter,report,,,letter_2023-05-12.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-05-19,"Friday Letter May 19, 2023",2023-05-19,Friday Letter,report,,,letter_2023-05-19.pdf,,,,,Export from SendGrid platform,Text,application/pdf
2023-05-05,"Friday Letter May 5, 2023",2023-05-05,Friday Letter,report,,,letter_2023-05-05.pdf,,,,,Export from SendGrid platform,Text,application/pdf
